date,flu,cough,fever,influenza,cold,isPartial,state
2015-02-15,13,8,11,1,35,False,Alabama
2015-02-22,14,9,12,1,25,False,Alabama
2015-03-01,13,11,12,1,26,False,Alabama
2015-03-08,9,7,11,1,22,False,Alabama
2015-03-15,8,6,11,1,21,False,Alabama
2015-03-22,5,5,10,1,25,False,Alabama
2015-03-29,5,5,9,1,22,False,Alabama
2015-04-05,4,7,10,0,24,False,Alabama
2015-04-12,4,6,9,1,25,False,Alabama
2015-04-19,4,5,11,1,22,False,Alabama
2015-04-26,4,4,10,1,24,False,Alabama
2015-05-03,4,5,9,1,22,False,Alabama
2015-05-10,3,5,12,1,22,False,Alabama
2015-05-17,3,5,12,1,19,False,Alabama
2015-05-24,2,6,10,0,17,False,Alabama
2015-05-31,2,5,9,0,16,False,Alabama
2015-06-07,3,4,9,1,18,False,Alabama
2015-06-14,2,4,8,1,20,False,Alabama
2015-06-21,2,4,8,1,17,False,Alabama
2015-06-28,2,5,8,1,17,False,Alabama
2015-07-05,2,4,8,1,14,False,Alabama
2015-07-12,2,4,9,0,18,False,Alabama
2015-07-19,1,3,8,0,21,False,Alabama
2015-07-26,2,3,8,1,20,False,Alabama
2015-08-02,1,4,10,1,16,False,Alabama
2015-08-09,3,3,11,0,18,False,Alabama
2015-08-16,2,4,12,0,19,False,Alabama
2015-08-23,4,4,9,0,20,False,Alabama
2015-08-30,3,6,11,0,18,False,Alabama
2015-09-06,5,5,12,0,19,False,Alabama
2015-09-13,6,5,7,0,18,False,Alabama
2015-09-20,10,6,10,1,18,False,Alabama
2015-09-27,9,6,10,1,22,False,Alabama
2015-10-04,12,6,9,1,20,False,Alabama
2015-10-11,8,6,12,1,19,False,Alabama
2015-10-18,11,8,10,1,24,False,Alabama
2015-10-25,9,7,9,1,22,False,Alabama
2015-11-01,9,7,11,1,26,False,Alabama
2015-11-08,6,7,9,1,25,False,Alabama
2015-11-15,6,7,10,1,26,False,Alabama
2015-11-22,8,7,11,0,34,False,Alabama
2015-11-29,7,6,12,0,27,False,Alabama
2015-12-06,4,7,12,1,26,False,Alabama
2015-12-13,6,7,14,1,23,False,Alabama
2015-12-20,6,10,12,0,27,False,Alabama
2015-12-27,5,9,13,0,26,False,Alabama
2016-01-03,7,7,10,0,31,False,Alabama
2016-01-10,5,7,12,1,28,False,Alabama
2016-01-17,5,8,8,1,36,False,Alabama
2016-01-24,6,8,10,0,28,False,Alabama
2016-01-31,5,8,11,0,24,False,Alabama
2016-02-07,5,7,13,1,29,False,Alabama
2016-02-14,8,7,13,1,24,False,Alabama
2016-02-21,9,8,12,1,25,False,Alabama
2016-02-28,8,7,11,1,25,False,Alabama
2016-03-06,11,8,12,1,23,False,Alabama
2016-03-13,8,9,12,1,22,False,Alabama
2016-03-20,7,6,11,0,22,False,Alabama
2016-03-27,6,7,10,1,23,False,Alabama
2016-04-03,7,7,11,1,22,False,Alabama
2016-04-10,6,7,12,1,22,False,Alabama
2016-04-17,7,7,11,0,26,False,Alabama
2016-04-24,6,7,10,1,21,False,Alabama
2016-05-01,4,6,11,1,23,False,Alabama
2016-05-08,4,6,10,0,21,False,Alabama
2016-05-15,5,5,13,0,21,False,Alabama
2016-05-22,8,6,10,1,20,False,Alabama
2016-05-29,5,5,10,0,18,False,Alabama
2016-06-05,4,6,10,0,19,False,Alabama
2016-06-12,3,4,9,0,17,False,Alabama
2016-06-19,2,5,11,0,18,False,Alabama
2016-06-26,2,4,10,0,20,False,Alabama
2016-07-03,2,4,9,0,19,False,Alabama
2016-07-10,2,4,8,0,18,False,Alabama
2016-07-17,2,4,11,0,19,False,Alabama
2016-07-24,2,5,9,0,20,False,Alabama
2016-07-31,2,3,9,0,21,False,Alabama
2016-08-07,2,4,10,0,19,False,Alabama
2016-08-14,3,4,9,0,22,False,Alabama
2016-08-21,3,6,12,0,21,False,Alabama
