date,flu,cough,fever,influenza,cold,isPartial,state
2014-10-26,11,6,10,1,22,False,Alabama
2014-11-02,11,6,11,1,25,False,Alabama
2014-11-09,8,7,9,0,34,False,Alabama
2014-11-16,9,8,12,0,32,False,Alabama
2014-11-23,12,8,12,1,23,False,Alabama
2014-11-30,14,8,12,1,23,False,Alabama
2014-12-07,16,7,14,1,24,False,Alabama
2014-12-14,24,9,15,1,24,False,Alabama
2014-12-21,28,14,17,1,26,False,Alabama
2014-12-28,29,9,12,1,30,False,Alabama
2015-01-04,19,9,9,1,42,False,Alabama
2015-01-11,17,8,10,1,26,False,Alabama
2015-01-18,14,6,11,1,24,False,Alabama
2015-01-25,16,8,11,1,22,False,Alabama
2015-02-01,13,10,11,1,27,False,Alabama
2015-02-08,15,8,9,1,26,False,Alabama
2015-02-15,16,7,11,1,36,False,Alabama
2015-02-22,12,8,15,1,27,False,Alabama
2015-03-01,14,9,13,1,25,False,Alabama
2015-03-08,8,5,11,1,21,False,Alabama
2015-03-15,7,8,11,2,24,False,Alabama
2015-03-22,5,6,9,1,24,False,Alabama
2015-03-29,4,4,10,0,22,False,Alabama
2015-04-05,3,4,13,0,23,False,Alabama
2015-04-12,2,7,9,1,21,False,Alabama
2015-04-19,4,6,8,1,20,False,Alabama
2015-04-26,2,6,11,0,18,False,Alabama
2015-05-03,3,4,9,1,23,False,Alabama
2015-05-10,2,4,10,1,23,False,Alabama
2015-05-17,2,5,10,0,21,False,Alabama
2015-05-24,2,4,10,0,15,False,Alabama
2015-05-31,2,5,9,0,15,False,Alabama
2015-06-07,2,5,8,0,18,False,Alabama
2015-06-14,2,5,9,0,18,False,Alabama
2015-06-21,3,4,9,0,18,False,Alabama
2015-06-28,1,5,8,1,17,False,Alabama
2015-07-05,1,3,10,0,16,False,Alabama
2015-07-12,2,4,10,0,18,False,Alabama
2015-07-19,3,6,7,0,21,False,Alabama
2015-07-26,1,4,9,0,17,False,Alabama
2015-08-02,1,4,9,1,18,False,Alabama
2015-08-09,3,3,10,0,19,False,Alabama
2015-08-16,3,3,9,1,18,False,Alabama
2015-08-23,5,4,10,1,19,False,Alabama
2015-08-30,4,6,11,0,16,False,Alabama
2015-09-06,6,6,10,1,19,False,Alabama
2015-09-13,6,3,9,0,17,False,Alabama
2015-09-20,11,5,11,0,20,False,Alabama
2015-09-27,8,4,10,1,19,False,Alabama
2015-10-04,13,6,10,1,20,False,Alabama
2015-10-11,9,7,9,0,18,False,Alabama
2015-10-18,12,8,9,1,25,False,Alabama
2015-10-25,9,8,11,1,19,False,Alabama
2015-11-01,9,8,12,0,23,False,Alabama
2015-11-08,7,6,13,1,23,False,Alabama
2015-11-15,7,8,10,1,28,False,Alabama
2015-11-22,7,9,12,0,31,False,Alabama
2015-11-29,4,5,12,0,27,False,Alabama
2015-12-06,5,6,11,1,27,False,Alabama
2015-12-13,5,8,12,0,23,False,Alabama
2015-12-20,5,9,12,0,26,False,Alabama
2015-12-27,6,8,11,0,29,False,Alabama
2016-01-03,7,7,11,0,31,False,Alabama
2016-01-10,5,6,12,1,27,False,Alabama
2016-01-17,6,9,9,1,35,False,Alabama
2016-01-24,6,8,11,1,27,False,Alabama
2016-01-31,5,7,11,0,25,False,Alabama
2016-02-07,7,6,11,0,29,False,Alabama
2016-02-14,8,7,13,1,23,False,Alabama
2016-02-21,9,9,11,1,25,False,Alabama
2016-02-28,9,8,12,1,23,False,Alabama
2016-03-06,12,7,13,1,21,False,Alabama
2016-03-13,8,8,11,1,22,False,Alabama
2016-03-20,6,6,10,0,22,False,Alabama
2016-03-27,5,7,11,1,22,False,Alabama
2016-04-03,7,7,11,1,23,False,Alabama
2016-04-10,5,7,12,0,23,False,Alabama
2016-04-17,7,6,10,0,22,False,Alabama
2016-04-24,5,7,11,1,23,False,Alabama
2016-05-01,4,6,9,0,22,False,Alabama
2016-05-08,4,6,11,1,22,False,Alabama
2016-05-15,4,6,11,0,21,False,Alabama
2016-05-22,7,6,11,0,18,False,Alabama
2016-05-29,4,5,10,0,19,False,Alabama
2016-06-05,3,4,10,0,17,False,Alabama
2016-06-12,3,4,11,0,17,False,Alabama
2016-06-19,3,5,9,0,19,False,Alabama
2016-06-26,2,4,9,0,17,False,Alabama
2016-07-03,2,3,10,0,19,False,Alabama
2016-07-10,2,5,10,0,16,False,Alabama
2016-07-17,2,4,9,0,20,False,Alabama
2016-07-24,2,3,9,0,20,False,Alabama
2016-07-31,2,4,7,0,19,False,Alabama
2016-08-07,2,4,10,0,19,False,Alabama
2016-08-14,2,3,8,0,18,False,Alabama
2016-08-21,2,6,10,0,21,False,Alabama
2016-08-28,4,7,11,1,19,False,Alabama
2016-09-04,5,7,10,0,22,False,Alabama
2016-09-11,4,5,11,0,22,False,Alabama
2016-09-18,7,6,10,0,23,False,Alabama
2016-09-25,8,7,10,0,20,False,Alabama
2016-10-02,10,5,11,1,20,False,Alabama
2016-10-09,10,6,11,1,22,False,Alabama
2016-10-16,8,7,9,1,23,False,Alabama
2016-10-23,9,5,10,0,24,False,Alabama
2016-10-30,7,5,12,1,20,False,Alabama
2016-11-06,7,7,10,0,22,False,Alabama
2016-11-13,7,8,11,1,26,False,Alabama
2016-11-20,6,8,12,0,31,False,Alabama
2016-11-27,6,8,10,1,25,False,Alabama
2016-12-04,6,7,9,1,38,False,Alabama
2016-12-11,8,8,12,0,34,False,Alabama
2016-12-18,9,9,15,0,34,False,Alabama
2016-12-25,8,10,12,0,25,False,Alabama
2017-01-01,10,9,8,0,35,False,Alabama
2017-01-08,11,8,12,0,35,False,Alabama
2017-01-15,10,9,10,0,23,False,Alabama
2017-01-22,10,7,11,0,24,False,Alabama
2017-01-29,16,8,14,1,28,False,Alabama
2017-02-05,21,9,12,1,28,False,Alabama
2017-02-12,22,10,13,1,28,False,Alabama
2017-02-19,21,9,14,1,24,False,Alabama
2017-02-26,13,9,12,1,24,False,Alabama
2017-03-05,13,9,12,1,23,False,Alabama
2017-03-12,14,6,13,2,30,False,Alabama
2017-03-19,13,8,13,1,26,False,Alabama
2017-03-26,12,8,13,1,20,False,Alabama
2017-04-02,6,6,11,1,19,False,Alabama
2017-04-09,4,5,11,1,24,False,Alabama
2017-04-16,5,6,9,0,23,False,Alabama
2017-04-23,4,5,9,0,22,False,Alabama
2017-04-30,4,7,10,1,25,False,Alabama
2017-05-07,3,8,9,0,21,False,Alabama
2017-05-14,3,5,11,0,23,False,Alabama
2017-05-21,3,6,9,0,20,False,Alabama
2017-05-28,4,5,11,0,21,False,Alabama
2017-06-04,3,5,10,0,21,False,Alabama
2017-06-11,3,5,10,0,20,False,Alabama
2017-06-18,2,6,9,0,19,False,Alabama
2017-06-25,2,6,11,0,21,False,Alabama
2017-07-02,2,4,10,0,20,False,Alabama
2017-07-09,2,4,10,0,20,False,Alabama
2017-07-16,2,5,9,1,23,False,Alabama
2017-07-23,3,5,8,0,22,False,Alabama
2017-07-30,2,5,9,0,21,False,Alabama
2017-08-06,3,5,10,0,21,False,Alabama
2017-08-13,3,7,8,0,22,False,Alabama
2017-08-20,4,7,10,1,21,False,Alabama
2017-08-27,5,5,12,1,20,False,Alabama
2017-09-03,5,8,9,0,22,False,Alabama
2017-09-10,7,6,10,0,19,False,Alabama
2017-09-17,7,7,10,1,22,False,Alabama
2017-09-24,11,7,12,1,23,False,Alabama
2017-10-01,10,6,11,1,20,False,Alabama
2017-10-08,10,6,10,0,19,False,Alabama
2017-10-15,12,7,10,1,22,False,Alabama
2017-10-22,10,8,11,1,27,False,Alabama
2017-10-29,10,7,11,1,27,False,Alabama
2017-11-05,10,10,11,0,26,False,Alabama
2017-11-12,9,10,10,0,29,False,Alabama
2017-11-19,8,8,11,1,31,False,Alabama
2017-11-26,10,8,12,0,29,False,Alabama
2017-12-03,10,10,11,0,40,False,Alabama
2017-12-10,12,11,12,1,37,False,Alabama
2017-12-17,32,14,18,1,32,False,Alabama
2017-12-24,31,14,16,1,44,False,Alabama
2017-12-31,37,14,14,2,70,False,Alabama
2018-01-07,82,13,18,2,36,False,Alabama
2018-01-14,100,14,17,2,48,False,Alabama
2018-01-21,95,13,19,3,29,False,Alabama
2018-01-28,89,11,19,3,31,False,Alabama
2018-02-04,79,10,18,2,29,False,Alabama
2018-02-11,56,10,14,1,25,False,Alabama
2018-02-18,27,9,13,1,23,False,Alabama
2018-02-25,15,8,10,1,21,False,Alabama
2018-03-04,10,7,11,1,28,False,Alabama
2018-03-11,9,8,12,1,27,False,Alabama
2018-03-18,7,8,10,0,23,False,Alabama
2018-03-25,7,9,10,1,25,False,Alabama
2018-04-01,5,7,8,1,26,False,Alabama
2018-04-08,4,8,11,0,25,False,Alabama
2018-04-15,5,7,11,0,26,False,Alabama
2018-04-22,6,7,11,0,22,False,Alabama
2018-04-29,4,7,9,0,23,False,Alabama
2018-05-06,4,8,9,0,25,False,Alabama
2018-05-13,3,6,11,0,22,False,Alabama
2018-05-20,2,5,10,0,20,False,Alabama
2018-05-27,3,7,9,0,17,False,Alabama
2018-06-03,2,6,11,0,21,False,Alabama
2018-06-10,3,6,10,0,22,False,Alabama
2018-06-17,3,5,11,0,18,False,Alabama
2018-06-24,2,4,10,0,22,False,Alabama
2018-07-01,3,6,10,1,20,False,Alabama
2018-07-08,2,5,9,0,19,False,Alabama
2018-07-15,3,5,10,0,20,False,Alabama
2018-07-22,1,5,10,0,19,False,Alabama
2018-07-29,3,7,10,0,19,False,Alabama
2018-08-05,2,8,12,0,20,False,Alabama
2018-08-12,3,6,9,0,21,False,Alabama
2018-08-19,4,8,9,0,22,False,Alabama
2018-08-26,7,6,9,0,24,False,Alabama
2018-09-02,6,8,11,0,20,False,Alabama
