"location","target","score","forecast_week","competition_week","skill","model"
"HHS Region 1","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 1","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 10","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 10","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 2","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 2","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 3","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 3","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 4","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 4","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 5","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 5","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 6","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 6","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 7","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 7","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 8","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 8","Season peak week",-2.11021320034659,10,20,0.121212121212121,"ARLR_Gaussker"
"HHS Region 9","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 9","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"US National","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"US National","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 1","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 10","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 2","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 3","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 4","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 5","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 6","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 7","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 8","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 9","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"US National","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"US National","1 wk ahead",-1.82687403668861,10,20,0.160915799272335,"ARLR_Gaussker"
"HHS Region 1","1 wk ahead",-1.89078644781935,10,20,0.150953045448471,"ARLR_Gaussker"
"HHS Region 2","1 wk ahead",-3.01638632613223,10,20,0.0489778890724312,"ARLR_Gaussker"
"HHS Region 3","1 wk ahead",-1.91439614310074,10,20,0.147430832837322,"ARLR_Gaussker"
"HHS Region 4","1 wk ahead",-1.80143114517711,10,20,0.165062490714851,"ARLR_Gaussker"
"HHS Region 5","1 wk ahead",-1.67890895923216,10,20,0.186577428612678,"ARLR_Gaussker"
"HHS Region 6","1 wk ahead",-2.78419842199381,10,20,0.0617785895476804,"ARLR_Gaussker"
"HHS Region 7","1 wk ahead",-3.15797326201086,10,20,0.042511814135979,"ARLR_Gaussker"
"HHS Region 8","1 wk ahead",-2.11469519048025,10,20,0.120670065332731,"ARLR_Gaussker"
"HHS Region 9","1 wk ahead",-1.40131014668039,10,20,0.246274097295418,"ARLR_Gaussker"
"HHS Region 10","1 wk ahead",-2.47318912729033,10,20,0.0843155367990295,"ARLR_Gaussker"
"US National","2 wk ahead",-2.63678744146157,10,20,0.0715908904500099,"ARLR_Gaussker"
"HHS Region 1","2 wk ahead",-2.19594548274954,10,20,0.111253323664117,"ARLR_Gaussker"
"HHS Region 2","2 wk ahead",-3.29500310857623,10,20,0.0370679298185347,"ARLR_Gaussker"
"HHS Region 3","2 wk ahead",-2.708622622372,10,20,0.0666285161688005,"ARLR_Gaussker"
"HHS Region 4","2 wk ahead",-2.58490503240774,10,20,0.0754032401252771,"ARLR_Gaussker"
"HHS Region 5","2 wk ahead",-2.36636641234165,10,20,0.093821014550589,"ARLR_Gaussker"
"HHS Region 6","2 wk ahead",-5.32361566737985,10,20,0.00487509509829587,"ARLR_Gaussker"
"HHS Region 7","2 wk ahead",-2.58187455256678,10,20,0.0756320947188896,"ARLR_Gaussker"
"HHS Region 8","2 wk ahead",-2.28144227125907,10,20,0.10213679147587,"ARLR_Gaussker"
"HHS Region 9","2 wk ahead",-1.96486523247147,10,20,0.140174776351096,"ARLR_Gaussker"
"HHS Region 10","2 wk ahead",-2.48271044166231,10,20,0.0835165517964359,"ARLR_Gaussker"
"US National","3 wk ahead",-4.48348690279266,10,20,0.0112939634632783,"ARLR_Gaussker"
"HHS Region 1","3 wk ahead",-2.4938547009633,10,20,0.0825909886244221,"ARLR_Gaussker"
"HHS Region 2","3 wk ahead",-5.98616593264371,10,20,0.00251328169237036,"ARLR_Gaussker"
"HHS Region 3","3 wk ahead",-3.23710010934352,10,20,0.0392776309435087,"ARLR_Gaussker"
"HHS Region 4","3 wk ahead",-3.90530985450657,10,20,0.0201347146925376,"ARLR_Gaussker"
"HHS Region 5","3 wk ahead",-2.85287008956121,10,20,0.0576785405093685,"ARLR_Gaussker"
