"location","target","score","forecast_week","competition_week","skill","model"
"HHS Region 1","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 1","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 10","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 10","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 2","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 2","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 3","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 3","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 4","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 4","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 5","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 5","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 6","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 6","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 7","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 7","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 8","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 8","Season peak week",-2.11021320034659,10,20,0.121212121212121,"ARLR_Gaussker"
"HHS Region 9","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 9","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"US National","Season onset",-2.42774823594805,10,20,0.0882352941176471,"ARLR_Gaussker"
"US National","Season peak week",-2.39789527279837,10,20,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 1","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 10","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 2","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 3","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 4","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 5","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 6","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 7","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 8","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 9","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"US National","Season peak percentage",-3.77658503453304,10,20,0.0229007633587786,"ARLR_Gaussker"
"US National","1 wk ahead",-3.19579810635084,10,20,0.0409338427758387,"ARLR_Gaussker"
"HHS Region 1","1 wk ahead",-2.53808512698024,10,20,0.0790175636153746,"ARLR_Gaussker"
"HHS Region 2","1 wk ahead",-3.21759917859261,10,20,0.0400510984614136,"ARLR_Gaussker"
"HHS Region 3","1 wk ahead",-2.88318184174583,10,20,0.0559564347586643,"ARLR_Gaussker"
"HHS Region 4","1 wk ahead",-2.16179911736611,10,20,0.115117824141693,"ARLR_Gaussker"
"HHS Region 5","1 wk ahead",-2.31100863377505,10,20,0.0991611837831218,"ARLR_Gaussker"
"HHS Region 6","1 wk ahead",-5.75944634875233,10,20,0.00315285669835625,"ARLR_Gaussker"
"HHS Region 7","1 wk ahead",-3.01578164687302,10,20,0.0490075139419828,"ARLR_Gaussker"
"HHS Region 8","1 wk ahead",-2.21735023288944,10,20,0.108897279293133,"ARLR_Gaussker"
"HHS Region 9","1 wk ahead",-1.53825300623305,10,20,0.214755951209704,"ARLR_Gaussker"
"HHS Region 10","1 wk ahead",-2.45374320742685,10,20,0.0859711755075639,"ARLR_Gaussker"
"US National","2 wk ahead",-7.15342988458054,10,20,0.000782176699440002,"ARLR_Gaussker"
"HHS Region 1","2 wk ahead",-3.51790350805642,10,20,0.0296615552396179,"ARLR_Gaussker"
"HHS Region 2","2 wk ahead",-8.56657926743426,10,20,0.000190362717270783,"ARLR_Gaussker"
"HHS Region 3","2 wk ahead",-5.56632472733888,10,20,0.00382451075398698,"ARLR_Gaussker"
"HHS Region 4","2 wk ahead",-4.95272251536292,10,20,0.00706415046704574,"ARLR_Gaussker"
"HHS Region 5","2 wk ahead",-2.96017292382202,10,20,0.0518099572222323,"ARLR_Gaussker"
"HHS Region 6","2 wk ahead",-10,10,20,4.53999297624849e-05,"ARLR_Gaussker"
"HHS Region 7","2 wk ahead",-3.18208675410512,10,20,0.0414989665649425,"ARLR_Gaussker"
"HHS Region 8","2 wk ahead",-2.72158713232298,10,20,0.0657702853993991,"ARLR_Gaussker"
"HHS Region 9","2 wk ahead",-1.99663656345353,10,20,0.135791241237336,"ARLR_Gaussker"
"HHS Region 10","2 wk ahead",-2.49042574940045,10,20,0.082874675219782,"ARLR_Gaussker"
"US National","3 wk ahead",-9.88687165678801,10,20,5.08377353752681e-05,"ARLR_Gaussker"
"HHS Region 1","3 wk ahead",-3.27760390997104,10,20,0.0377185256010094,"ARLR_Gaussker"
"HHS Region 2","3 wk ahead",-10,10,20,4.53999297624849e-05,"ARLR_Gaussker"
"HHS Region 3","3 wk ahead",-6.75562382056527,10,20,0.00116431328515332,"ARLR_Gaussker"
"HHS Region 4","3 wk ahead",-9.48794110163499,10,20,7.57599248045603e-05,"ARLR_Gaussker"
