"location","target","score","forecast_week","competition_week","skill","model"
"HHS Region 1","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 1","Season peak week",-2.39789528279837,1,11,0.09090909,"."
"HHS Region 10","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 10","Season peak week",-2.39789528279837,1,11,0.09090909,"."
"HHS Region 2","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 2","Season peak week",-2.39789528279837,1,11,0.09090909,"."
"HHS Region 3","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 3","Season peak week",-2.39789528279837,1,11,0.09090909,"."
"HHS Region 4","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 4","Season peak week",-2.39789528279837,1,11,0.09090909,"."
"HHS Region 5","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 5","Season peak week",-2.39789528279837,1,11,0.09090909,"."
"HHS Region 6","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 6","Season peak week",-2.39789528279837,1,11,0.09090909,"."
"HHS Region 7","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 7","Season peak week",-2.39789528279837,1,11,0.09090909,"."
"HHS Region 8","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 8","Season peak week",-2.11021321034659,1,11,0.12121212,"."
"HHS Region 9","Season onset",-2.42774822594805,1,11,0.088235295,"."
"HHS Region 9","Season peak week",-2.39789528279837,1,11,0.09090909,"."
"US National","Season onset",-2.42774822594805,1,11,0.088235295,"."
"US National","Season peak week",-2.39789528279837,1,11,0.09090909,"."
"HHS Region 1","Season peak percentage",-2.47730202240278,1,11,0.083969468,"."
"HHS Region 10","Season peak percentage",-2.47730202240278,1,11,0.083969468,"."
"HHS Region 2","Season peak percentage",-2.47730202240278,1,11,0.083969468,"."
"HHS Region 3","Season peak percentage",-2.47730202240278,1,11,0.083969468,"."
"HHS Region 4","Season peak percentage",-2.47730202240278,1,11,0.083969468,"."
"HHS Region 5","Season peak percentage",-2.47730202240278,1,11,0.083969468,"."
"HHS Region 6","Season peak percentage",-2.67797271786493,1,11,0.068702292,"."
"HHS Region 7","Season peak percentage",-2.47730202240278,1,11,0.083969468,"."
"HHS Region 8","Season peak percentage",-2.47730202240278,1,11,0.083969468,"."
"HHS Region 9","Season peak percentage",-2.47730202240278,1,11,0.083969468,"."
"US National","Season peak percentage",-2.47730202240278,1,11,0.083969468,"."
"US National","1 wk ahead",-0.0670765688700233,1,11,0.935123597238316,"."
"HHS Region 1","1 wk ahead",-0.437616764329483,1,11,0.645573142111807,"."
"HHS Region 2","1 wk ahead",-0.601167631924006,1,11,0.548171200076989,"."
"HHS Region 3","1 wk ahead",-0.388780927532432,1,11,0.67788275919721,"."
"HHS Region 4","1 wk ahead",-0.728251588163747,1,11,0.48275230248633,"."
"HHS Region 5","1 wk ahead",-0.293461529886408,1,11,0.745677908626173,"."
"HHS Region 6","1 wk ahead",-0.435176304446121,1,11,0.647150561498368,"."
"HHS Region 7","1 wk ahead",-1.43760023908665,1,11,0.237497011418742,"."
"HHS Region 8","1 wk ahead",-0.686400721326533,1,11,0.503384633926565,"."
"HHS Region 9","1 wk ahead",-2.37121975110243,1,11,0.093366772570833,"."
"HHS Region 10","1 wk ahead",-1.05799089336436,1,11,0.347152576702144,"."
"US National","2 wk ahead",-2.72551922263202,1,11,0.0655121784799719,"."
"HHS Region 1","2 wk ahead",-1.09260287214115,1,11,0.335342503098208,"."
"HHS Region 2","2 wk ahead",-2.09536905474905,1,11,0.12302483237622,"."
"HHS Region 3","2 wk ahead",-1.23185747153332,1,11,0.29175015646036,"."
"HHS Region 4","2 wk ahead",-5.47693226869592,1,11,0.00418213971994199,"."
"HHS Region 5","2 wk ahead",-1.11025013386328,1,11,0.329476537527967,"."
