"location","target","score","forecast_week","competition_week","skill","model"
"HHS Region 1","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 10","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 2","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 3","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 4","Season peak week",-1.70474809223843,1,11,0.181818181818182,"."
"HHS Region 5","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 5","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 6","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 7","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 7","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 8","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 9","Season peak week",-1.70474809223843,1,11,0.181818181818182,"."
"US National","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 1","Season onset",-3.52636052461616,1,11,0.0294117647058824,"."
"HHS Region 10","Season onset",-3.52636052461616,1,11,0.0294117647058824,"."
"HHS Region 2","Season onset",-3.52636052461616,1,11,0.0294117647058824,"."
"HHS Region 3","Season onset",-3.52636052461616,1,11,0.0294117647058824,"."
"HHS Region 4","Season onset",-3.52636052461616,1,11,0.0294117647058824,"."
"HHS Region 6","Season onset",-3.52636052461616,1,11,0.0294117647058824,"."
"HHS Region 8","Season onset",-3.52636052461616,1,11,0.0294117647058824,"."
"HHS Region 9","Season onset",-3.52636052461616,1,11,0.0294117647058824,"."
"US National","Season onset",-3.52636052461616,1,11,0.0294117647058824,"."
"HHS Region 1","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 10","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 2","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 3","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 4","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 5","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 6","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 7","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 8","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 9","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"US National","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"US National","1 wk ahead",-1.52100098152029,1,11,0.218493069929276,"."
"HHS Region 1","1 wk ahead",-2.00019268828698,1,11,0.135309208224974,"."
"HHS Region 2","1 wk ahead",-1.82759352568378,1,11,0.160800063765814,"."
"HHS Region 3","1 wk ahead",-1.92929884049055,1,11,0.145250006210828,"."
"HHS Region 4","1 wk ahead",-1.75357435632053,1,11,0.173153922205874,"."
"HHS Region 5","1 wk ahead",-1.68069140629165,1,11,0.186245160436866,"."
